,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature
262,0.273,0.967,11,-2.549,0,0.203,8.7e-06,0.0066,0.081,0.281,177.573,4
264,0.54,0.965,4,-7.285,0,0.0577,0.00134,0.874,0.236,0.357,132.955,4
265,0.322,0.816,11,-7.509,0,0.0644,5.93e-05,0.13,0.0445,0.395,105.225,4
266,0.241,0.82,2,-8.69,1,0.0489,0.000933,0.743,0.617,0.421,96.547,3
268,0.304,0.854,9,-7.673,1,0.0872,6.22e-05,0.000826,0.331,0.717,133.921,4
269,0.296,0.947,10,-5.518,0,0.195,5.16e-05,0.0142,0.134,0.237,111.548,3
270,0.564,0.911,1,-5.124,1,0.0335,0.00327,0.492,0.49,0.789,109.959,4
271,0.463,0.829,2,-8.301,1,0.0374,0.00017,0.168,0.29,0.233,97.46,4
272,0.822,0.294,2,-11.395,0,0.0641,0.231,0.000519,0.0515,0.685,120.094,4
273,0.591,0.659,8,-8.883,1,0.592,0.0635,0.0,0.0854,0.763,84.012,4
274,0.835,0.649,2,-4.692,1,0.22,0.0448,5.08e-05,0.0797,0.494,86.981,4
275,0.253,0.923,2,-5.977,1,0.0767,2.36e-05,0.415,0.131,0.0675,112.485,3
277,0.508,0.43,1,-11.625,1,0.0333,0.775,0.0192,0.119,0.702,148.868,4
278,0.477,0.907,5,-4.19,1,0.0522,5.58e-05,0.221,0.178,0.558,174.977,4
279,0.355,0.997,9,-4.199,1,0.241,0.000529,0.107,0.295,0.0377,120.761,4
283,0.408,0.839,11,-7.366,1,0.0724,0.000375,0.284,0.0963,0.589,166.063,4
284,0.224,0.637,2,-6.056,0,0.0629,0.00104,0.0914,0.204,0.163,138.571,4
285,0.433,0.817,10,-3.986,1,0.0486,0.688,4.9e-06,0.092,0.826,122.511,4
286,0.707,0.959,7,-4.025,1,0.124,0.002,0.000409,0.0647,0.376,137.001,4
287,0.711,0.718,11,-8.802,0,0.295,0.00815,0.0,0.384,0.65,164.034,4
289,0.442,0.97,2,-5.221,1,0.0576,0.0294,8.39e-05,0.305,0.544,91.756,4
290,0.585,0.908,6,-4.848,0,0.199,0.0083,3.15e-05,0.066,0.759,191.004,4
292,0.635,0.946,7,-3.022,1,0.168,0.169,3.15e-05,0.0409,0.3,148.142,4
293,0.594,0.664,1,-10.583,1,0.789,0.858,0.0,0.0885,0.721,183.124,3
296,0.426,0.982,5,-3.022,0,0.121,6.03e-06,0.902,0.193,0.227,146.068,4
297,0.333,0.992,10,-4.198,0,0.161,4.18e-06,0.306,0.275,0.262,198.038,4
298,0.217,0.77,8,-5.776,0,0.0373,0.0384,0.000465,0.554,0.582,166.211,3
299,0.34,0.998,0,-2.909,1,0.209,6.48e-05,0.00078,0.25,0.116,160.678,4
300,0.161,0.989,8,-5.275,1,0.182,6.69e-06,0.311,0.259,0.103,162.553,4
301,0.213,0.651,0,-6.628,1,0.0891,7.42e-05,0.802,0.111,0.0329,125.608,4
302,0.322,0.926,2,-6.402,1,0.0501,3.14e-05,0.483,0.223,0.227,112.527,4
303,0.212,0.979,10,-5.088,0,0.145,1.63e-05,0.0249,0.171,0.386,160.053,4
304,0.566,0.948,9,-6.034,1,0.108,0.000113,7.05e-05,0.0739,0.328,138.483,4
306,0.553,0.978,6,-4.205,1,0.0626,8.55e-05,0.0133,0.218,0.34,98.961,4
309,0.335,0.978,9,-1.677,1,0.0918,0.00991,1.74e-06,0.854,0.45,120.288,4
310,0.122,0.43,2,-7.08,1,0.056,1.11e-05,0.0881,0.148,0.154,79.213,4
312,0.724,0.806,1,-6.843,0,0.295,0.0541,0.0,0.314,0.586,93.863,4
313,0.303,0.832,9,-5.375,0,0.0548,0.000105,2.76e-06,0.0556,0.684,148.185,4
315,0.622,0.716,10,-8.295,0,0.194,0.0717,0.00205,0.111,0.572,190.628,4
316,0.574,0.842,9,-8.885,0,0.0349,1.8e-05,0.498,0.785,0.366,110.957,4
317,0.617,0.824,1,-6.195,1,0.0904,0.0239,1.56e-06,0.196,0.629,114.914,4
318,0.235,0.999,11,-2.888,1,0.256,7.59e-06,0.0168,0.123,0.0365,157.602,4
319,0.358,0.907,7,-5.612,0,0.0548,0.106,0.000704,0.193,0.264,93.964,4
321,0.288,0.967,10,-5.446,1,0.132,4.7e-05,0.00122,0.306,0.365,138.24,4
322,0.542,0.933,2,-1.763,0,0.0621,3.49e-05,0.197,0.195,0.462,131.337,4
323,0.271,0.993,6,-3.924,0,0.111,8.25e-05,0.000191,0.128,0.0453,96.976,4
324,0.187,0.947,11,-6.94,1,0.108,0.000381,0.000274,0.167,0.119,159.661,4
326,0.324,0.929,2,-6.84,1,0.13,4.71e-06,0.0346,0.263,0.474,102.272,4
329,0.392,0.996,5,-5.035,1,0.26,1.23e-05,0.445,0.108,0.322,198.016,4
330,0.537,0.469,1,-7.955,1,0.0382,0.148,0.000407,0.107,0.57,89.338,4
331,0.527,0.765,5,-7.387,0,0.0351,2.18e-05,0.786,0.107,0.375,139.971,4
335,0.154,0.945,7,-4.847,1,0.0651,8.76e-06,0.767,0.187,0.409,105.135,4
339,0.249,0.864,8,-7.382,1,0.0525,0.000438,0.639,0.512,0.492,163.376,3
340,0.741,0.871,7,-4.813,1,0.17,0.000933,0.0,0.384,0.668,92.991,4
341,0.597,0.929,2,-7.267,1,0.371,0.249,0.0,0.338,0.801,94.755,4
342,0.325,0.965,2,-3.604,1,0.0704,9.2e-05,0.0157,0.37,0.223,170.189,4
344,0.199,0.723,11,-7.163,0,0.0553,0.715,0.163,0.174,0.613,89.694,4
345,0.372,0.548,9,-7.327,0,0.0416,0.72,2.07e-05,0.561,0.209,130.258,4
346,0.371,0.73,8,-7.272,1,0.0475,6.73e-05,0.242,0.0727,0.525,122.566,4
348,0.456,0.6,6,-9.294,1,0.0267,0.374,0.0,0.256,0.471,96.039,4
349,0.858,0.789,6,-3.582,0,0.222,0.0136,0.0,0.0745,0.68,111.703,5
352,0.419,0.898,0,-5.292,1,0.0588,0.0104,1.08e-05,0.0704,0.385,91.723,4
353,0.386,0.965,4,-5.941,0,0.216,0.000513,7.17e-05,0.368,0.257,184.08,4
354,0.347,0.987,6,-4.388,1,0.143,2.78e-06,0.669,0.0873,0.268,106.253,4
355,0.177,0.958,6,-5.426,1,0.179,9.67e-05,1.35e-06,0.289,0.286,155.81,4
356,0.331,0.939,2,-5.938,1,0.0555,4.15e-05,0.000632,0.109,0.572,124.964,4
360,0.641,0.895,1,-5.761,1,0.0497,0.00673,0.0229,0.0815,0.64,99.995,4
363,0.759,0.449,4,-9.938,0,0.43,0.0112,0.0,0.167,0.287,91.658,4
364,0.755,0.783,2,-6.445,1,0.367,0.138,0.0,0.689,0.583,89.799,4
365,0.43,0.969,1,-3.106,1,0.128,5.09e-05,0.0,0.333,0.692,135.933,4
367,0.331,0.977,9,-2.467,1,0.0943,0.000248,0.0,0.0314,0.315,108.393,4
368,0.592,0.347,1,-11.688,1,0.0445,0.0183,0.74,0.106,0.0465,133.093,4
369,0.529,0.141,7,-21.989,1,0.0353,0.989,0.88,0.225,0.204,98.451,4
370,0.311,0.905,9,-4.549,1,0.15,2.22e-05,0.000197,0.205,0.492,142.743,5
371,0.417,0.944,11,-5.029,0,0.127,4.54e-05,1.22e-06,0.0734,0.576,96.966,5
373,0.371,0.986,9,-6.306,1,0.269,6.47e-05,0.356,0.604,0.144,113.543,4
374,0.45,0.99,4,-4.775,1,0.135,1.72e-05,0.0923,0.0713,0.047,144.936,4
